Logged started on,25/03/2025 08:38:44
Feature,Pressure
Nodes,BLEPnP @900939

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,Pressure (mBar)
25/03/2025 08:56:38.626,1074613,BLEPnP @900939,43942,878C0100,1015.11
25/03/2025 08:56:39.616,1075585,BLEPnP @900939,44042,8B8C0100,1015.15
25/03/2025 08:56:40.636,1076605,BLEPnP @900939,44142,828C0100,1015.06
25/03/2025 08:56:41.626,1077595,BLEPnP @900939,44242,878C0100,1015.11
25/03/2025 08:56:42.616,1078585,BLEPnP @900939,44342,878C0100,1015.11
25/03/2025 08:56:43.636,1079605,BLEPnP @900939,44442,8A8C0100,1015.14
25/03/2025 08:56:44.626,1080595,BLEPnP @900939,44542,858C0100,1015.09
25/03/2025 08:56:45.616,1081585,BLEPnP @900939,44642,858C0100,1015.09
25/03/2025 08:56:46.636,1082605,BLEPnP @900939,44742,888C0100,1015.12
25/03/2025 08:56:47.626,1083595,BLEPnP @900939,44842,838C0100,1015.07
25/03/2025 08:56:48.646,1084615,BLEPnP @900939,44942,838C0100,1015.07
25/03/2025 08:56:49.636,1085605,BLEPnP @900939,45042,808C0100,1015.04
25/03/2025 08:56:50.626,1086595,BLEPnP @900939,45142,848C0100,1015.08
25/03/2025 08:56:51.616,1087585,BLEPnP @900939,45242,848C0100,1015.08
25/03/2025 08:56:52.636,1088605,BLEPnP @900939,45342,878C0100,1015.11
25/03/2025 08:56:53.655,1089624,BLEPnP @900939,45442,818C0100,1015.05
25/03/2025 08:56:54.616,1090585,BLEPnP @900939,45542,8B8C0100,1015.15
25/03/2025 08:56:55.636,1091605,BLEPnP @900939,45642,888C0100,1015.12
25/03/2025 08:56:56.626,1092595,BLEPnP @900939,45742,848C0100,1015.08
25/03/2025 08:56:57.616,1093585,BLEPnP @900939,45842,868C0100,1015.1
25/03/2025 08:56:58.636,1094605,BLEPnP @900939,45942,898C0100,1015.13
25/03/2025 08:56:59.626,1095595,BLEPnP @900939,46042,838C0100,1015.07
25/03/2025 08:57:00.616,1096585,BLEPnP @900939,46142,838C0100,1015.07
25/03/2025 08:57:01.636,1097605,BLEPnP @900939,46242,858C0100,1015.09
25/03/2025 08:57:02.626,1098595,BLEPnP @900939,46342,878C0100,1015.11
25/03/2025 08:57:03.615,1099585,BLEPnP @900939,46442,858C0100,1015.09
25/03/2025 08:57:04.636,1100605,BLEPnP @900939,46542,858C0100,1015.09
25/03/2025 08:57:05.626,1101595,BLEPnP @900939,46642,818C0100,1015.05
25/03/2025 08:57:06.616,1102585,BLEPnP @900939,46742,838C0100,1015.07
25/03/2025 08:57:07.636,1103605,BLEPnP @900939,46842,848C0100,1015.08
25/03/2025 08:57:08.626,1104595,BLEPnP @900939,46942,898C0100,1015.13
25/03/2025 08:57:09.615,1105584,BLEPnP @900939,47042,868C0100,1015.1
25/03/2025 08:57:10.635,1106604,BLEPnP @900939,47142,888C0100,1015.12
25/03/2025 08:57:11.626,1107595,BLEPnP @900939,47242,8A8C0100,1015.14
25/03/2025 08:57:12.615,1108584,BLEPnP @900939,47342,888C0100,1015.12
25/03/2025 08:57:13.635,1109604,BLEPnP @900939,47442,898C0100,1015.13
